Flaeche;BaumNr;Gattung;Art;Sorte;NameDeutsch;Hoehe;Schirmdurchmesser;Stammumfang;Typ;XPos;YPos;lon;lat
397;059;Pinus;nigra;austriaca;Österreichische Schwarz-Kiefer;4;6;70;N;71710;346455;14.2981944181765;48.2523365355861
5187;017a;Prunus;avium;Plena;Gefülltblühende Vogel-Kirsche;7;2;39;L;70810;345290;14.2858844292470;48.2419593786426
910;008FL;Acer;sp.; -;Ahorn;20;0;0;L;71259;349241;14.2925889439318;48.2774354568182
783;073;Abies;nordmanniana; -;Nordmannstanne;20;10;246;N;69309;351331;14.2666574954108;48.2964476662037
783;074;Abies;pinsapo; -;Spanische Tanne;18;8;175;N;69310;351325;14.2666719821804;48.2963900709053
783;075;Abies;cephalonica;-;Griechische Tanne;8;3;47;N;69314;351322;14.2667237354763;48.2963627976104
1445;022;Betula;pendula;Darlecarlica;Geschlitztblättrige Birke;18;10;137;L;69300;351253;14.2665339188549;48.2957458706677
1445;021;Betula;pendula;Darlecarlica;Geschlitztblättrige Birke;18;10;141;L;69296;351251;14.2664766504244;48.2957333516851
1448;064a;Picea;omorika; -;Serbische Fichte;15;6;75;N;69507;351091;14.2692971084273;48.2942694211814
1449;001;Gleditsia;triacanthos;Rubylace;Blut-Gleditschie;8;9;74;L;69401;351101;14.2678625635432;48.2943660256753
1449;002;Gleditsia;japonica;-;Japanische Gleditschie;14;13;121;L;69390;351106;14.2677121593369;48.2944109119146
1449;015;Betula;papyrifera; -;Papier-Birke;11;6;79;L;69327;351157;14.2668832031785;48.2948789384320
1449;016;Betula;papyrifera; -;Papier-Birke;13;8;79;L;69330;351156;14.2669108681363;48.2948683876895
1449;017a;Betula;papyrifera; -;Papier-Birke;12;5;58;L;69330;351154;14.2669174932263;48.2948490860260
1449;020a;Betula;sp.; -;Birke;11;3;55;L;69336;351145;14.2669972484583;48.2947724794137
1450;011;Platanus;orientalis; -;Morgenländische-Platane;18;14;284;L;69457;351071;14.2686174663262;48.2940960206311
1450;012;Platanus;orientalis; -;Morgenländische-Platane;18;18;315;L;69445;351075;14.2684585251046;48.2941306216889
1450;014;Gleditsia;triacanthos;Sunburst;Gelbe Gleditschie;18;12;125;L;69416;351074;14.2680589520508;48.2941283068085
1450;016;Gleditsia;triacanthos;Sunburst;Gelbe Gleditschie;18;11;210;L;69425;351075;14.2681797175329;48.2941360130909
1450;018;Gleditsia;caspica;-;Kaspische Gleditschie;8;7;57;L;69440;351066;14.2683802219616;48.2940520325525
1452;011;Betula;pendula; -;Weiß-Birke;18;8;109;L;69479;350943;14.2688867885162;48.2929355547697
1452;036;Betula;pendula; -;Weiß-Birke;18;12;160;L;69439;350891;14.2683454039957;48.2924744055123
1452;141;Fraxinus;angustifolia;Raywood;"Schmalblättrige Esche ""Raywood""";15;8;154;L;69271;350854;14.2660720100131;48.2921583367883
1396;999FL;Robinia;sp.; -;Robinie;10;0;0;L;74680;345242;14.3379755930078;48.2410876380648
447;999FL;Fraxinus;sp.; -;Esche;10;0;0;L;77762;346430;14.3796722431955;48.2514031997617
1100;300;Fraxinus;excelsior; -;Gemeine Esche;14;9;166;L;69960;351409;14.2754518728689;48.2970801410403
1100;314;Fraxinus;excelsior; -;Gemeine Esche;15;12;155;L;69964;351441;14.2755009254186;48.2973620625565
842;009;Quercus;cerris; -;Zerr-Eiche;11;8;76;L;73622;344844;14.3236648805252;48.2376279341913
842;011;Quercus;cerris; -;Zerr-Eiche;11;10;100;L;73578;344828;14.3230619497805;48.2374921060327
888;018;Acer;sp.; -;Ahorn;7;3;50;L;74754;346079;14.3391188867169;48.2486068271181
1044;006;Salix;alba; -;Silber-Weide;25;10;273;L;74310;354339;14.3345757449613;48.3229321613047
1327;067;Populus;nigra; -;Schwarz-Pappel;10;4;65;L;73210;349017;14.3188378025420;48.2752029492692
13;060;Salix;alba; -;Silber-Weide;20;15;520;L;74592;354262;14.3383644820658;48.3222071902291
1331;037;Populus;nigra;Italica;Säulen-Pappel;16;8;120;L;73108;349816;14.3175956843031;48.2823989387095
632;073;Carpinus;betulus; -;Hainbuche;9;6;95;L;71395;356147;14.2955886651877;48.3395196394503
632;082;Carpinus;betulus; -;Hainbuche;10;6;90;L;71442;356085;14.2962135784748;48.3389555543165
632;085;Robinia;sp.; -;Robinie;9;8;149;L;71475;355960;14.2966363011127;48.3378324490945
632;086;Robinia;sp.; -;Robinie;7;4;60;L;71470;355919;14.2965596317029;48.3374640288075
6362;001;Malus;Hybr.;Striped Beauty;"Zier-Apfel ""Striped Beauty"" (weiß)";5;2;23;L;71490;355987;14.2968362074976;48.3380744227252
1096;271;Acer;sp.; -;Ahorn;7;6;84;L;75451;346672;14.3486074331515;48.2538583188032
1096;272;Acer;sp.; -;Ahorn;4;2;31;L;75455;346677;14.3486578837143;48.2538982999547
199;128;Betula;pendula; -;Weiß-Birke;15;5;80;L;72217;349880;14.3056070312250;48.2830769528632
199;129;Carpinus;betulus; -;Hainbuche;12;5;156;L;72215;349882;14.3055745838185;48.2830979634252
140;100;Liriodendron;tulipifera; -;Tulpenbaum;15;5;90;L;71686;348750;14.2982581904964;48.2729764336227
1057;177;Sophora;japonica; -;Japanischer Schnurbaum;6;3;35;L;71478;348739;14.2954599786829;48.2728995717634
1057;168;Sophora;japonica; -;Japanischer Schnurbaum;5;4;47;L;71476;348785;14.2954422141802;48.2733169448874
1057;169;Sophora;japonica; -;Japanischer Schnurbaum;4;3;30;L;71476;348793;14.2954434231223;48.2733815229980
1057;170;Sophora;japonica; -;Japanischer Schnurbaum;6;5;50;L;71476;348802;14.2954327205514;48.2734632755219
1057;171;Sophora;japonica; -;Japanischer Schnurbaum;6;4;45;L;71475;348808;14.2954305242434;48.2735241700744
1057;172;Sophora;japonica; -;Japanischer Schnurbaum;6;4;45;L;71475;348817;14.2954341515681;48.2735991215097
1057;173;Sophora;japonica; -;Japanischer Schnurbaum;7;5;55;L;71475;348824;14.2954265068014;48.2736660006593
1057;182;Tilia;cordata; -;Winter-Linde;7;4;50;L;71506;348807;14.2958411625480;48.2735065048353
1057;183;Acer;platanoides; -;Spitz-Ahorn;7;3;48;L;71506;348801;14.2958362902385;48.2734587468090
1057;185;Acer;platanoides;Faassen's Black;Roter Spitz-Ahorn;7;3;25;L;71501;348774;14.2957656223750;48.2732139756795
1057;186;Acer;platanoides;Faassen's Black;Roter Spitz-Ahorn;6;3;25;L;71500;348769;14.2957564063228;48.2731688427562
1057;187;Acer;platanoides; -;Spitz-Ahorn;8;4;50;L;71508;348752;14.2958566729987;48.2730131027663
1057;194;Betula;pendula; -;Weiß-Birke;8;3;45;L;71518;348724;14.2959928915408;48.2727593855343
1057;199;Betula;pendula; -;Weiß-Birke;9;4;55;L;71528;348700;14.2961163017589;48.2725450362378
1057;200;Acer;platanoides; -;Spitz-Ahorn;10;6;50;L;71529;348693;14.2961353807608;48.2724789657636
1277;005;Pinus;sp.; -;Kiefer / Föhre;14;6;167;N;71188;347031;14.2912626173465;48.2575744567759
1277;075;Acer;pseudoplatanus; -;Berg-Ahorn;6;4;72;L;71310;347101;14.2929171537826;48.2581902301739
392;001;Liriodendron;tulipifera; -;Tulpenbaum;10;3;56;L;71069;346733;14.2896103924196;48.2549081729637
392;002;Liriodendron;tulipifera; -;Tulpenbaum;5;2;45;L;71097;346754;14.2899909196490;48.2550938756509
392;007;Liriodendron;tulipifera; -;Tulpenbaum;4;2;42;L;71205;346826;14.2914566544299;48.2557294013090
403;055;Platanus;hispanica;  -;Ahornblättrige-Platane;12;7;157;L;71303;345331;14.2925260456958;48.2422753646614
403;056;Platanus;hispanica;  -;Ahornblättrige-Platane;15;10;157;L;71296;345324;14.2924306419779;48.2422132051268
5187;015;Fraxinus;excelsior; -;Gemeine Esche;10;4;64;L;70824;345305;14.2860694372190;48.2420922868825
5187;016;Prunus;avium; -;Vogel-Kirsche;7;2;42;L;70817;345298;14.2859830712074;48.2420332584406
1073;998FL;Acer;sp.; -;Ahorn;15;0;0;L;70542;351450;14.2832973733483;48.2973824360800
983;999FL;Acer;sp.; -;Ahorn;15;0;0;L;68901;352387;14.2613425557586;48.3059883381944
1439;999FL;Fraxinus;excelsior; -;Gemeine Esche;20;0;0;L;69159;352265;14.2647990372744;48.3048589934582
652;907;Quercus;robur; -;Stiel-Eiche;22;12;194;L;73249;354526;14.3203110260504;48.3247365865185
1100;308;Fagus;sylvatica; -;Rotbuche;6;6;68;L;69965;351429;14.2755126615534;48.2972553671628
652;1019;Fraxinus;excelsior; -;Gemeine Esche;17;14;244;L;73248;354521;14.3202912583405;48.3246928780766
652;1016;Fraxinus;excelsior; -;Gemeine Esche;12;8;157;L;73287;354506;14.3208181501597;48.3245458953218
652;922;Quercus;robur; -;Stiel-Eiche;22;9;255;L;73380;354459;14.3220605757289;48.3241140650241
652;930;Fraxinus;excelsior; -;Gemeine Esche;17;8;147;L;73478;354390;14.3233711738011;48.3234816750742
652;931;Acer;platanoides; -;Spitz-Ahorn;16;9;157;L;73484;354386;14.3234555768835;48.3234475312062
6087;077;Platanus;hispanica;  -;Ahornblättrige-Platane;10;6;65;L;68419;355133;14.2552805920512;48.3307344749297
6093;067;Sorbus;sp.; -;Mehl-/Vogelbeere;8;4;42;L;68428;355423;14.2554468478630;48.3333407269396
6093;068;Fraxinus;sp.; -;Esche;9;2;25;L;68427;355423;14.2554383130655;48.3333407951566
1494;005;Acer;platanoides;Eurostar;"Spitz-Ahorn ""Eurostar""";4;1;17;L;70489;348511;14.2820998652150;48.2709622327348
1494;003;Acer;platanoides; -;Spitz-Ahorn;7;5;108;L;70481;348527;14.2819881924198;48.2711075611035
525;178;Acer;platanoides; -;Spitz-Ahorn;7;4;55;L;70946;353306;14.2890512928741;48.3140240783412
525;179;Ulmus;minor (=U.carpinifolia); -;Feld-Ulme;7;4;95;L;70982;353360;14.2895437841639;48.3145077811275
572;057;Sorbus;intermedia; -;Schwedische Mehlbeere;15;8;198;L;71125;353719;14.2915388653376;48.3177179238682
