Flaeche;BaumNr;Gattung;Art;Sorte;NameDeutsch;Hoehe;Schirmdurchmesser;Stammumfang;Typ;XPos;YPos;lon;lat
0;0;ZumTesten;0;0;20200806;0;0;0;0;70000;350000;14.2757549011313;48.2844031941041
708;012a;Tilia;cordata; -;Winter-Linde;5;3;25;L;71139;351492;14.2913503578498;48.2976925965220
155;052;Carpinus;betulus; -;Hainbuche;8;3;70;L;70708;348007;14.2849596941538;48.2664037733305
142;002;Catalpa;bignonioides; -;Trompetenbaum;3;2;40;L;70312;349251;14.2798342806869;48.2776338541608
155;036;Quercus;robur; -;Stiel-Eiche;14;5;130;L;70751;348026;14.2855474653939;48.2665662244416
4208;019;Magnolia;kobus; -;Baum-Magnolie (weiß);6;2;26;L;73012;355426;14.3172747962171;48.3328532740482
711;017a;Koelreuteria;paniculata; -;Blasenbaum;2;1;12;L;70430;350655;14.2816594605635;48.2902493031797
792;060b;Juglans;nigra; -;Schwarznuss;2;1;4;L;69903;351923;14.2747656542719;48.3017025219183
194;011;Tilia;cordata; -;Winter-Linde;14;6;160;L;71044;348606;14.2895827984488;48.2717495189682
194;017;Tilia;cordata; -;Winter-Linde;14;10;180;L;70983;348603;14.2887607952950;48.2717358956723
194;021;Tilia;cordata; -;Winter-Linde;12;6;150;L;71032;348590;14.2894271311735;48.2716103570080
194;026;Tilia;cordata; -;Winter-Linde;14;8;130;L;71109;348593;14.2904568339368;48.2716270703609
821;004;Tilia;cordata; -;Winter-Linde;10;7;140;L;71208;348370;14.2917621954427;48.2696100596659
5024;001;Quercus;rubra; -;Amerikanische Rot-Eiche;5;1;20;L;69902;351224;14.2746301140104;48.2954226322783
28;001;Acer;pseudoplatanus; -;Berg-Ahorn;8;7;99;L;70246;350751;14.2791920007982;48.2911287960858
136;022;Ailanthus;altissima; -;Götterbaum;16;14;200;L;70288;348981;14.2794706659370;48.2752047951897
136;023;Ailanthus;altissima; -;Götterbaum;10;8;1;L;70283;348970;14.2793908284330;48.2751136628100
194;020;Tilia;cordata; -;Winter-Linde;14;6;160;L;71015;348589;14.2891902662724;48.2716070261678
194;030;Tilia;cordata; -;Winter-Linde;8;6;60;L;71180;348595;14.2914181318130;48.2716419038519
820;014;Tilia;cordata; -;Winter-Linde;10;7;170;L;71144;348769;14.2909562387956;48.2732093765830
820;015;Tilia;cordata; -;Winter-Linde;12;5;190;L;71158;348770;14.2911499476209;48.2732146791436
1407;056;Sophora;japonica; -;Japanischer Schnurbaum;5;3;23;L;71505;348502;14.2957747827689;48.2707643283921
194;004;Tilia;cordata; -;Winter-Linde;14;8;150;L;71116;348609;14.2905639469423;48.2717718580078
194;007;Tilia;cordata; -;Winter-Linde;12;6;130;L;71085;348608;14.2901395470146;48.2717661594524
194;008;Tilia;cordata; -;Winter-Linde;14;6;130;L;71074;348607;14.2899979056013;48.2717586386904
194;009;Tilia;cordata; -;Winter-Linde;14;7;150;L;71064;348606;14.2898539606447;48.2717526942855
194;013;Tilia;cordata; -;Winter-Linde;14;6;150;L;71023;348604;14.2893059806545;48.2717410360964
7;195a;Quercus;robur;Purpurea;Rotlaubige Stiel-Eiche;1;1;6;L;73356;355837;14.3219812361167;48.3365088732145
194;014;Tilia;cordata; -;Winter-Linde;14;6;130;L;71013;348606;14.2891652951473;48.2717552892640
194;015;Tilia;cordata; -;Winter-Linde;14;6;150;L;71003;348604;14.2890303085700;48.2717349225288
194;016;Tilia;cordata; -;Winter-Linde;12;6;130;L;70993;348605;14.2888939626865;48.2717486147954
194;024;Tilia;cordata; -;Winter-Linde;14;8;160;L;71079;348592;14.2900598953155;48.2716195861723
194;029;Tilia;cordata; -;Winter-Linde;14;8;180;L;71164;348595;14.2912034366838;48.2716394529619
194;031;Tilia;cordata; -;Winter-Linde;14;8;160;L;71216;348596;14.2919023769567;48.2716397347009
194;032;Tilia;cordata; -;Winter-Linde;12;6;120;L;71234;348596;14.2921430698077;48.2716449424737
820;008;Tilia;cordata; -;Winter-Linde;12;10;180;L;71058;348766;14.2898023167227;48.2731898908095
820;012;Tilia;cordata; -;Winter-Linde;8;10;120;L;71112;348768;14.2905300104798;48.2732018397747
820;017;Tilia;cordata; -;Winter-Linde;12;6;210;L;71195;348771;14.2916488699086;48.2732216096112
820;019;Tilia;cordata; -;Winter-Linde;8;5;170;L;71243;348773;14.2922953676122;48.2732321400594
821;006;Tilia;cordata; -;Winter-Linde;12;7;160;L;71177;348369;14.2913341303260;48.2696028469103
821;008;Tilia;cordata; -;Winter-Linde;12;8;180;L;71132;348367;14.2907267917178;48.2695924001346
821;009;Tilia;cordata; -;Winter-Linde;12;7;130;L;71118;348366;14.2905376923087;48.2695855250559
821;012;Tilia;cordata; -;Winter-Linde;12;8;200;L;71077;348365;14.2899901189318;48.2695801843344
290;770a;Pyrus;calleriana;Chanticleer;Chinesische Wildbirne;4;2;23;L;72771;355894;14.3141050148527;48.3370898676308
7;140a;Betula;utilis; -;Himalaja-Birke;2;2;9;L;73332;355804;14.3216494697264;48.3362146693000
606;021a;Crataegus;lavallei; -;Lederblättrige Weißdorn;4;1;17;L;70020;353558;14.2766085777586;48.3163938139196
194;001;Tilia;cordata; -;Winter-Linde;12;8;140;L;71156;348612;14.2910917230697;48.2717905319792
194;002;Tilia;cordata; -;Winter-Linde;8;6;140;L;71145;348610;14.2909524844544;48.2717737696962
194;003;Tilia;cordata;Greenspire;"Winter-Linde ""Greenspire""";12;8;160;L;71136;348610;14.2908243304848;48.2717748658341
485;003b;Sophora;japonica; -;Japanischer Schnurbaum;6;2;20;L;70360;352341;14.2809993133570;48.3054122494176
788;016a;Pinus;heldreichii [=P. leucodermis]; -;Schlangenhaut-Kiefer;2;1;12;N;69073;351966;14.2635838204337;48.3021786337979
129;060;Platanus;hispanica;  -;Ahornblättrige-Platane;20;12;175;L;72213;349110;14.3054205113479;48.2761508089158
129;061;Quercus;sp.; -;Eiche;15;10;140;L;72195;349122;14.3051820332345;48.2762596348385
1209;059;Acer;saccharinum;Laciniatum Wieri;Geschlitzter Silber-Ahorn;6;2;22;L;73670;346773;14.3246339820344;48.2549719126516
792;043;Tsuga;canadensis; -;Kanadische Hemlocktanne;10;10;100;N;69975;351923;14.2757397695996;48.3016962422318
199;110;Carpinus;betulus; -;Hainbuche;5;3;70;L;72361;349752;14.3075161330174;48.2819044975559
819;030;Tilia;cordata; -;Winter-Linde;10;5;100;L;71264;348447;14.2925249089656;48.2703011771784
819;031;Tilia;cordata; -;Winter-Linde;10;5;120;L;71265;348431;14.2925284866816;48.2701530209796
219;045;Acer;negundo; -;Eschen-Ahorn;14;12;131;L;72549;346168;14.3094373333618;48.2496630458551
295;073;Picea;abies; -;Gemeine Fichte;11;6;116;N;72982;346821;14.3153805568860;48.2554827039446
295;077;Aesculus;hippocastanum; -;Gemeine Rosskastanie;8;9;100;L;73005;346838;14.3157017645635;48.2556333986961
1004;079;Pinus;nigra; -;Schwarz-Kiefer;10;8;110;N;73010;346843;14.3157695066673;48.2556749453674
1004;080;Pinus;nigra; -;Schwarz-Kiefer;10;6;107;N;73014;346841;14.3158189227609;48.2556567770213
866;008;Larix;decidua; -;Europäische Lärche;14;6;105;N;72646;346648;14.3108283832891;48.2539630814595
259;015;Corylus;colurna; -;Baumhasel;5;2;42;L;73272;346509;14.3192350327838;48.2526397605012
199;075;Carpinus;betulus; -;Hainbuche;7;2;100;L;72491;349575;14.3092437292727;48.2803058898790
199;078;Betula;pendula; -;Weiß-Birke;8;3;100;L;72483;349595;14.3091321080713;48.2804794907035
199;079;Betula;pendula;Darlecarlica;Geschlitztblättrige Birke;10;3;130;L;72422;349678;14.3083261028052;48.2812343831885
819;034;Tilia;cordata; -;Winter-Linde;12;7;130;L;71266;348379;14.2925440203848;48.2696905961748
199;109;Carpinus;betulus; -;Hainbuche;9;3;90;L;72365;349748;14.3075802533264;48.2818685777765
199;112;Betula;pendula; -;Weiß-Birke;9;3;100;L;72352;349759;14.3073999775440;48.2819749046801
219;057;Juglans;regia; -;Walnuss;5;7;44;L;72522;346150;14.3090818041184;48.2495020721969
219;046;Abies; alba; -;Weiß-Tanne;12;5;100;N;72555;346158;14.3095239885605;48.2495722955125
220;012A;Pinus;heldreichii [=P. leucodermis]; -;Schlangenhaut-Kiefer;2;2;12;N;72665;346229;14.3110111235411;48.2501917619033
295;068;Picea;omorika; -;Serbische Fichte;7;3;72;N;72967;346811;14.3151759272483;48.2553984809147
295;071;Picea;abies; -;Gemeine Fichte;9;4;73;N;72978;346822;14.3153232320351;48.2554888196068
295;072;Picea;abies; -;Gemeine Fichte;9;3;67;N;72981;346819;14.3153667660719;48.2554622936769
866;020;Picea;omorika; -;Serbische Fichte;2;1;15;N;72678;346640;14.3112566716347;48.2538933303420
1445;088;Quercus;robur; -;Stiel-Eiche;10;5;78;L;69359;351150;14.2673038082875;48.2948109550775
487;059;Larix;sp.; -;Lärche;12;8;75;N;70111;352022;14.2775845712965;48.3025725147323
839;019;Carpinus;betulus;Fastigiata;Säulen-Hainbuche;8;2;20;L;73598;346846;14.3236827996289;48.2556367486759
480;008;Prunus;sp.; -;Kirsche;12;11;1;L;70399;352200;14.2814956135454;48.3041412211026
285;023;Corylus;colurna; -;Baumhasel;9;6;87;L;73318;347368;14.3200020966782;48.2603628652189
1508;007;Juglans;regia; -;Walnuss;5;5;31;L;72704;346632;14.3116043676471;48.2538179188517
654;179;Tsuga;canadensis; -;Kanadische Hemlocktanne;2;1;40;N;73221;355616;14.3201264414039;48.3345388044601
1448;050;Picea;omorika; -;Serbische Fichte;12;5;112;N;69519;351098;14.2694545331830;48.2943259405852
839;007;Acer;platanoides; -;Spitz-Ahorn;10;5;35;L;73641;346885;14.3242664319382;48.2559829151728
792;038;Tilia;cordata; -;Winter-Linde;12;9;90;L;70031;351921;14.2764954411077;48.3016730253773
37;053;Tilia;cordata; -;Winter-Linde;10;2;46;L;69995;351222;14.2758891440532;48.2953918148709
37;049;Tilia;cordata; -;Winter-Linde;24;6;190;L;70025;351240;14.2762946214814;48.2955546497432
656;096;Malus;Zierform; -;Zier-Apfel;4;2;15;L;72866;355345;14.3152880178076;48.3321429481606
330;006;Abies; alba; -;Weiß-Tanne;2;1;27;N;71827;351961;14.3006969144412;48.3018342706653
199;076;Carpinus;betulus; -;Hainbuche;9;3;130;L;72490;349580;14.3092236489632;48.2803451558395
265;018;Platanus;hispanica;  -;Ahornblättrige-Platane;10;8;82;L;71973;346116;14.3016718040756;48.2492619330821
292;083b;Malus;domestica; -;Kulturapfel;3;1;19;L;72216;346209;14.3049605727287;48.2500670421053
295;039;Picea;omorika; -;Serbische Fichte;15;3;87;N;73010;346721;14.3157433675638;48.2545805728950
295;029;Picea;pungens; -;Stechfichte;8;3;47;N;73029;346722;14.3159997845799;48.2545872079332
295;026;Gleditsia;triacanthos; -;Christusdorn;7;3;42;L;73022;346750;14.3159096496952;48.2548420434484
1508;003;Magnolia;kobus; -;Baum-Magnolie (weiß);6;3;24;L;72723;346654;14.3118705378758;48.2540149306133
259;008;Corylus;colurna; -;Baumhasel;8;5;89;L;73190;346492;14.3181228066261;48.2525028010043
654;155;Carpinus;betulus;Fastigiata;Säulen-Hainbuche;7;3;32;L;73236;355665;14.3203302343142;48.3349807705311
113;001;Aesculus;hippocastanum; -;Gemeine Rosskastanie;12;5;80;L;72703;349879;14.3121503428160;48.2830118605448
1209;068;Tilia;cordata; -;Winter-Linde;6;2;25;L;73626;346779;14.3240476803780;48.2550288008876
485;035;Liquidambar;styraciflua; -;Amerikanischer Amberbaum;8;4;45;L;70381;352282;14.2812630149883;48.3048780554727
839;003;Acer;platanoides; -;Spitz-Ahorn;7;2;30;L;73684;346955;14.3248649683861;48.2566106990866
839;004;Acer;platanoides; -;Spitz-Ahorn;9;4;35;L;73674;346938;14.3247153520721;48.2564518386505
792;089;Fagus;orientalis; -;Orientalische Buche;6;4;10;L;69841;351850;14.2739116045304;48.3010588246280
37;059;Tilia;cordata; -;Winter-Linde;25;6;180;L;69950;351179;14.2752756547033;48.2950101183946
37;057;Tilia;cordata; -;Winter-Linde;7;1;28;L;69965;351195;14.2754804250655;48.2951523373711
908;019a;Crataegus;lavallei; -;Lederblättrige Weißdorn;5;2;23;L;71262;350040;14.2927605371485;48.2846198150824
839;005;Acer;triflorum; -;Dreiblütiger Ahorn;5;3;30;L;73661;346918;14.3245489609782;48.2562743087789
489;066;Pinus;sylvestris; -;Gemeine Kiefer / Weißföhre;18;8;145;N;69719;352005;14.2722986341031;48.3024627815525
503;004;Fagus;sylvatica; -;Rotbuche;12;10;1;L;69519;351802;14.2695698732661;48.3006593422921
503;005;Betula;utilis; -;Himalaja-Birke;10;10;1;L;69516;351797;14.2695286228080;48.3006147110838
503;006;Fagus;sylvatica; -;Rotbuche;12;13;1;L;69517;351793;14.2695414439288;48.3005786342049
199;095;Carpinus;betulus; -;Hainbuche;8;5;110;L;72303;349790;14.3067489294794;48.2822557469383
199;096;Betula;pendula; -;Weiß-Birke;10;3;90;L;72292;349799;14.3066048313581;48.2823406625057
37;121;Tilia;cordata; -;Winter-Linde;28;10;190;L;70474;351499;14.2823874137531;48.2978271284145
29;002;Magnolia;sp.; -;Magnolie;10;4;93;L;70185;350504;14.2783306949440;48.2889147051492
37;052;Tilia;cordata; -;Winter-Linde;10;1;47;L;70001;351226;14.2759706572467;48.2954271215811
199;074;Carpinus;betulus; -;Hainbuche;8;3;120;L;72493;349572;14.3092687595904;48.2802753562949
487;050;Fagus;sylvatica;Pendula;Hänge-Buche;14;10;130;L;70088;352008;14.2772678031156;48.3024496405860
285;044;Corylus;colurna; -;Baumhasel;8;2;35;L;73397;347128;14.3210297779222;48.2581941920432
285;014;Corylus;colurna; -;Baumhasel;6;2;34;L;73281;347478;14.3195281960571;48.2613576672207
621;001a;Pinus;sylvestris; -;Gemeine Kiefer / Weißföhre;2;1;15;N;72420;355140;14.3092409124567;48.3303488784493
673;054a;Betula;pendula; -;Weiß-Birke;5;2;20;L;71378;355536;14.2952525092869;48.3340285719419
37;126;Tilia;cordata; -;Winter-Linde;27;8;180;L;70490;351468;14.2825968882110;48.2975465658330
44;012;Crataegus;sp.; -;Weißdorn;9;6;80;L;70144;350483;14.2777747977241;48.2887304007448
739;022;Betula;pendula; -;Weiß-Birke;4;1;15;L;71865;350782;14.3010169626593;48.2912276376553
199;125;Carpinus;betulus; -;Hainbuche;8;3;90;L;72286;349815;14.3065229881923;48.2824883800821
460;050;Prunus;padus; -;Trauben-Kirsche;4;4;44;L;74276;345188;14.3325170737337;48.2406468862360
989;012;Fagus;sylvatica; -;Rotbuche;20;4;150;L;71012;349602;14.2893233470408;48.2807157168703
1493;006;Prunus;serrula; -;Tibet-Kirsche /Mahagoni-Kirsche  (weiß);4;2;30;L;70542;348554;14.2828100300279;48.2713403861559
1217;021;Picea;abies; -;Gemeine Fichte;17;4;150;N;72269;348458;14.3060625073326;48.2702819607589
274;069;Platanus;hispanica;  -;Ahornblättrige-Platane;7;6;38;L;72063;346565;14.3029592488623;48.2532824683716
274;028;Platanus;hispanica;  -;Ahornblättrige-Platane;15;11;149;L;72350;346598;14.3068365553557;48.2535502365236
274;007;Platanus;hispanica;  -;Ahornblättrige-Platane;8;6;45;L;72014;346531;14.3022985398155;48.2529882884065
223;002;Picea;omorika; -;Serbische Fichte;5;2;30;N;72645;346609;14.3108102715874;48.2536183331838
274;035;Platanus;hispanica;  -;Ahornblättrige-Platane;14;3;43;L;72397;346610;14.3074740857639;48.2536521769884
276;013;Platanus;hispanica;  -;Ahornblättrige-Platane;10;7;80;L;72062;346576;14.3029592018882;48.2533853638099
208;003;Corylus;colurna; -;Baumhasel;6;4;30;L;70649;349023;14.2843381586242;48.2755421171955
1249;002;Liquidambar;styraciflua; -;Amerikanischer Amberbaum;4;1;10;L;71394;348563;14.2942984304476;48.2713274842195
137;001;Magnolia;acuminata; -;Gurken-Magnolie;4;2;30;L;70549;348531;14.2829083312678;48.2711368368326
873;003;Acer;platanoides; -;Spitz-Ahorn;4;2;20;L;72756;346741;14.3123295811781;48.2547909767345
1068;023;Pinus;nigra; -;Schwarz-Kiefer;18;4;160;N;70343;351179;14.2805737269567;48.2949650050920
242;027;Pinus;sp.; -;Kiefer / Föhre;8;5;93;N;73045;346642;14.3162056843093;48.2538700299011
199;088;Carpinus;betulus; -;Hainbuche;8;3;120;L;72384;349716;14.3078200030491;48.2815865015630
199;124;Carpinus;betulus; -;Hainbuche;8;3;80;L;72290;349813;14.3065691435466;48.2824616759756
654;119;Carpinus;betulus;Fastigiata;Säulen-Hainbuche;4;1;16;L;73061;355415;14.3179277746714;48.3327490745173
1079;007;Picea;glauca;Conica;Zuckerhut-Fichte;2;2;20;N;72270;354976;14.3071814455737;48.3288920065181
1079;008;Juglans;regia; -;Walnuss;4;3;15;L;72276;354978;14.3072630910663;48.3289081137882
908;009a;Carpinus;betulus; -;Hainbuche;4;1;17;L;71322;350157;14.2935892953936;48.2856696887807
129;005a;Quercus;sp.; -;Eiche;25;12;180;L;72305;349189;14.3066708955661;48.2768528977130
129;016;Quercus;sp.; -;Eiche;22;15;125;L;72353;349206;14.3073214279701;48.2769976135938
656;094;Malus;Zierform; -;Zier-Apfel;4;2;16;L;72853;355344;14.3151043488644;48.3321324739042
656;095;Malus;Zierform; -;Zier-Apfel;5;2;20;L;72860;355346;14.3152046721824;48.3321562200075
265;016;Platanus;hispanica;  -;Ahornblättrige-Platane;8;7;62;L;71968;346148;14.3016187446868;48.2495446207971
680;037a;Liriodendron;tulipifera; -;Tulpenbaum;7;1;19;L;71934;355215;14.3026953055253;48.3310805429570
190;001;Quercus;robur; -;Stiel-Eiche;20;12;150;L;70780;349097;14.2861113262663;48.2761972367059
188;014;Acer;pseudoplatanus; -;Berg-Ahorn;19;7;110;L;70060;349198;14.2764343580176;48.2771861582657
151;036;Platanus;hispanica;  -;Ahornblättrige-Platane;19;13;500;L;72433;349027;14.3083713859103;48.2753823815959
151;038;Carpinus;betulus; -;Hainbuche;13;7;160;L;72377;348986;14.3076027565389;48.2750191089731
151;039;Carpinus;betulus; -;Hainbuche;13;7;120;L;72393;348988;14.3078174385326;48.2750312458544
961;069;Abies;nordmanniana; -;Nordmannstanne;6;1;20;N;72443;349045;14.3085059529047;48.2755398029681
779;015;Picea;omorika; -;Serbische Fichte;13;3;67;N;73066;346901;14.3165282566205;48.2561887377631
246;018;Corylus;colurna; -;Baumhasel;4;2;43;L;72132;346603;14.3038973352757;48.2536179761254
4207;044;Fagus;sylvatica; -;Rotbuche;6;5;65;L;72169;346697;14.3044129570424;48.2544601864805
5105;077;Pinus;sp.; -;Kiefer / Föhre;17;8;120;N;72557;349902;14.3101873473284;48.2832353496776
874;006;Fraxinus;excelsior; -;Gemeine Esche;14;7;130;L;70669;348878;14.2845874452974;48.2742399323593
137;021;Acer;platanoides; -;Spitz-Ahorn;10;8;120;L;70487;348561;14.2820746324424;48.2714078616975
137;027;Acer;platanoides; -;Spitz-Ahorn;10;5;90;L;70515;348504;14.2824400912264;48.2708975634781
129;062;Quercus;sp.; -;Eiche;15;8;120;L;72192;349128;14.3051399694534;48.2763139488259
242;025;Tilia;cordata; -;Winter-Linde;12;6;100;L;73038;346648;14.3161114373340;48.2539176545331
1203;014;Tilia;cordata; -;Winter-Linde;9;3;43;L;70273;351279;14.2796411754137;48.2958731811021
1203;016;Tilia;cordata; -;Winter-Linde;10;2;53;L;70240;351275;14.2791994172643;48.2958413564077
1203;015;Tilia;cordata; -;Winter-Linde;10;2;55;L;70261;351279;14.2794830676785;48.2958750027933
1203;017;Tilia;cordata; -;Winter-Linde;9;2;40;L;70229;351270;14.2790503407592;48.2957982457010
1004;081;Pinus;nigra; -;Schwarz-Kiefer;10;8;130;N;73014;346835;14.3158146014013;48.2556042262833
129;002;Quercus;sp.; -;Eiche;30;20;180;L;72296;349200;14.3065555467479;48.2769529457073
989;004;Carpinus;betulus; -;Hainbuche;6;1;10;L;71001;349614;14.2891789999558;48.2808256903864
819;038;Tilia;euchlora; -;Krim-Linde;7;4;50;L;71259;348550;14.2924743943660;48.2712247964871
989;017;Fagus;sylvatica; -;Rotbuche;25;10;350;L;71020;349596;14.2894302799467;48.2806556281903
989;019;Acer;sp.; -;Ahorn;8;2;20;L;71026;349596;14.2895114892979;48.2806564397071
989;039;Acer;sp.; -;Ahorn;8;4;50;L;71094;349564;14.2904142756732;48.2803649840593
5085;015;Carpinus;betulus; -;Hainbuche;6;1;20;L;70365;349442;14.2805818620125;48.2793433885306
156;002;Tilia;cordata; -;Winter-Linde;12;5;90;L;70939;348178;14.2881015170009;48.2679197602809
156;005;Fagus;sp.; -;Buche;13;5;90;L;70896;348150;14.2875186793945;48.2676732529774
151;026;Tilia;cordata; -;Winter-Linde;17;10;190;L;72416;349017;14.3081399770502;48.2752908309146
151;040;Carpinus;betulus; -;Hainbuche;14;7;100;L;72404;348991;14.3079752969768;48.2750592672601
821;026;Betula;nigra; -;Schwarz-Birke;14;4;170;L;71363;348374;14.2938503597135;48.2696325339435
274;060;Platanus;hispanica;  -;Ahornblättrige-Platane;12;9;76;L;72159;346591;14.3042645903597;48.2535058192985
276;008;Platanus;hispanica;  -;Ahornblättrige-Platane;7;4;70;L;72004;346553;14.3021713457762;48.2531848049249
4207;031;Prunus;serrulata; -;Japanische Blüten-Kirsche;7;3;55;L;72176;346664;14.3045025283599;48.2541610818678
129;019;Picea;sp.; -;Fichte;15;4;80;N;72348;349187;14.3072481039627;48.2768297405459
129;033;Abies; alba; -;Weiß-Tanne;8;3;55;N;72255;349115;14.3059875326169;48.2761976243127
129;034;Abies; alba; -;Weiß-Tanne;8;3;40;N;72249;349116;14.3059015347416;48.2762073428668
161;031;Aesculus;hippocastanum; -;Gemeine Rosskastanie;7;2;18;L;71636;348530;14.2975447001059;48.2710010568688
794;014;Pinus;sylvestris; -;Gemeine Kiefer / Weißföhre;4;3;50;N;71305;348678;14.2931206282024;48.2723709619211
246;011;Corylus;colurna; -;Baumhasel;5;3;48;L;72170;346604;14.3044068924878;48.2536264675685
246;014;Corylus;colurna; -;Baumhasel;5;4;43;L;72149;346600;14.3041319766736;48.2535910936576
276;015;Platanus;hispanica;  -;Ahornblättrige-Platane;12;8;90;L;72086;346584;14.3032823405162;48.2534510993801
276;016;Platanus;hispanica;  -;Ahornblättrige-Platane;12;8;83;L;72099;346587;14.3034543356157;48.2534795175373
1209;011;Juglans;regia; -;Walnuss;7;2;17;L;73593;346787;14.3236076115192;48.2551082048486
881;001;Betula;nigra; -;Schwarz-Birke;15;3;80;L;71215;348287;14.2918381060965;48.2688691705293
5084;003;Quercus;rubra; -;Amerikanische Rot-Eiche;13;6;120;L;70456;349531;14.2818146691694;48.2801352119148
5084;005;Carpinus;betulus; -;Hainbuche;7;1;80;L;70427;349519;14.2814302508093;48.2800313390061
156;004;Tilia;cordata; -;Winter-Linde;13;3;80;L;70910;348158;14.2877061452242;48.2677404088367
882;001;Acer;negundo; -;Eschen-Ahorn;7;5;120;L;70637;348270;14.2840433501459;48.2687725229351
882;005;Acer;pseudoplatanus; -;Berg-Ahorn;12;6;130;L;70623;348292;14.2838655891788;48.2689747556386
151;019;Quercus;robur; -;Stiel-Eiche;25;10;290;L;72400;349021;14.3079277475442;48.2753273446771
151;025;Ptelea;sp.; -;Kleeulme;7;3;60;L;72382;349018;14.3076826957218;48.2753079431128
151;041;Sequoia;sp.; -;Küstenmammutbaum;6;2;30;N;72415;348993;14.3081228985887;48.2750796728211
961;064;Fagus;sylvatica; -;Rotbuche;7;3;80;L;72461;349076;14.3087522811769;48.2758227058384
961;065;Aesculus;sp.; -;Kastanie;21;10;240;L;72450;349061;14.3086058977024;48.2756863073296
276;010;Platanus;hispanica;  -;Ahornblättrige-Platane;6;3;69;L;72027;346563;14.3024801299298;48.2532706593247
4207;028a;Acer;platanoides; -;Spitz-Ahorn;5;3;17;L;72185;346695;14.3046344097650;48.2544404220522
783;096;Pinus;cembra; -;Zirben-Kiefer;2;2;15;N;69419;351143;14.2681159624441;48.2947454345426
1445;037;Cedrus;atlantica; -;Atlas-Zeder;6;3;30;N;69313;351224;14.2666931042392;48.2954857623439
487;043;Tsuga;canadensis; -;Kanadische Hemlocktanne;11;9;95;N;70073;351988;14.2770668111030;48.3022709832331
487;044;Tsuga;canadensis; -;Kanadische Hemlocktanne;10;9;75;N;70077;351988;14.2771207203384;48.3022705421405
1209;051a;Acer;negundo; -;Eschen-Ahorn;6;5;42;L;73699;346792;14.3250337259939;48.2551409646179
1209;035a;Juglans;nigra; -;Schwarznuss;6;1;15;L;73655;346820;14.3244461121978;48.2553949380677
485;032;Fagus;sylvatica;Atropunicea;Blut-Buche Veredelung;10;12;0;L;70362;352257;14.2810012233719;48.3046593218910
1209;071;Juglans;regia; -;Walnuss;5;5;62;L;73553;346695;14.3230523934212;48.2542826959148
839;016;Acer;platanoides; -;Spitz-Ahorn;7;2;20;L;73548;346827;14.3230060528334;48.2554695773471
285;035;Corylus;colurna; -;Baumhasel;8;2;38;L;73362;347235;14.3205759885397;48.2591617600270
285;032;Corylus;colurna; -;Baumhasel;9;6;74;L;73350;347271;14.3204162668910;48.2594869722331
654;142a;Carpinus;betulus;Fastigiata;Säulen-Hainbuche;5;1;18;L;73179;355605;14.3195501945852;48.3344409999297
178;003;Quercus;rubra; -;Amerikanische Rot-Eiche;14;8;130;L;70965;348197;14.2884574169495;48.2680845656159
151;017;Sorbus;sp.; -;Mehl-/Vogelbeere;10;4;60;L;72399;349006;14.3079029808053;48.2751931284799
274;016;Platanus;hispanica;  -;Ahornblättrige-Platane;16;14;137;L;72132;346572;14.3038968607281;48.2533388123582
113;023;Quercus;petraea; -;Trauben-Eiche;12;10;80;L;72348;349817;14.3073571710134;48.2824948625752
1445;049;Carpinus;betulus;Pendula;Hänge-Hainbuche;3;4;39;L;69309;351269;14.2666573793685;48.2958916697567
487;023;Pinus;sp.; -;Kiefer / Föhre;6;4;55;N;70018;351957;14.2763204394828;48.3019982982308
792;091;Sequoiadendron;giganteum; -;Riesenmammutbaum;7;4;55;N;70003;351919;14.2761140964610;48.3016621426231
680;052;Liriodendron;tulipifera; -;Tulpenbaum;5;1;18;L;71982;355044;14.3033190643137;48.3295320223808
626;029;Calocedrus;decurrens; -;Kalifornische Weihrauchzeder;2;1;28;N;72839;355283;14.3149083358247;48.3315893518649
794;016;Tilia;cordata; -;Winter-Linde;12;2;90;L;71316;348678;14.2932618336278;48.2723740696840
794;017;Fagus;sylvatica; -;Rotbuche;17;5;170;L;71321;348678;14.2933323696881;48.2723720548575
866;001;Juglans;regia; -;Walnuss;7;5;82;L;72656;346627;14.3109613598348;48.2537737793600
1378;009;Fagus;sylvatica; -;Rotbuche;9;9;85;L;72791;346681;14.3127881533048;48.2542419377256
1209;027;Juglans;regia; -;Walnuss;7;3;35;L;73636;346809;14.3241886220341;48.2552984675880
484;011;Pinus;heldreichii [=P. leucodermis]; -;Schlangenhaut-Kiefer;6;4;45;N;70378;352358;14.2812423709310;48.3055656939505
484;012;Pinus;heldreichii [=P. leucodermis]; -;Schlangenhaut-Kiefer;6;6;45;N;70380;352359;14.2812694244264;48.3055689054287
272;021;Acer;platanoides; -;Spitz-Ahorn;5;4;49;L;73075;346447;14.3165748474959;48.2521114170635
259;012;Corylus;colurna; -;Baumhasel;5;2;35;L;73125;346460;14.3172478080518;48.2522190960556
1203;018;Tilia;cordata; -;Winter-Linde;9;2;42;L;70219;351264;14.2789146082687;48.2957447663211
242;024;Tilia;cordata; -;Winter-Linde;13;6;97;L;73040;346634;14.3161306478962;48.2537987231718
1203;019;Tilia;cordata; -;Winter-Linde;9;2;38;L;70210;351257;14.2787921692167;48.2956828175342
